Taxon,Order,Family (Scientific),Family (English),Genus,Species (Scientific),Species (English),Breeding Range,Breeding Range-Subregion(s),picture_url,shape,Species (German),Family (German)
Neognathae,Galliformes,Phasianidae,Pheasants & Allies,Tetrastes,Bonasia,Hazel Grouse,EU,"nw, nc, ne",/hazel_grouse.jpg,chicken_like,Haselhuhn,Fasane
Neognathae,Galliformes,Phasianidae,Pheasants & Allies,Tetrastes,Sewerzowi,Chinese Grouse,EU,c China,/chinese_grouse.jpg,chicken_like,Schwarzbrust-Haselhuhn,Fasane
Neognathae,Galliformes,Phasianidae,Pheasants & Allies,Falcipennis,Falcipennis,Siberian Grouse,EU,"e Siberia, Sakhalin I.",/siberian_grouse.jpg,chicken_like,Sichelhuhn,Fasane
Neognathae,Galliformes,Phasianidae,Pheasants & Allies,Falcipennis,Canadensis,Spruce Grouse,EU,"Alaska, Canada, n USA",/spruce_grouse.jpg,chicken_like,Tannenhuhn,Fasane
Neognathae,Galliformes,Phasianidae,Pheasants & Allies,Tetrao,Urogallus,Western Capercaillie,EU,"nw, nc",/western_capercaillie.jpg,chicken_like,Auerhuhn,Fasane
Neognathae,Galliformes,Phasianidae,Pheasants & Allies,Tetrao,Urogalloides,Black-billed Capercaillie,EU,ne,/black-billed_capercaillie.jpg,chicken_like,Steinauerhuhn,Fasane
Neognathae,Galliformes,Phasianidae,Pheasants & Allies,Lyrurus,Tetrix,Black Grouse,EU,n,/black_grouse.jpg,chicken_like,Birkhuhn,Fasane
Neognathae,Galliformes,Phasianidae,Pheasants & Allies,Lyrurus,Mlokosiewiczi,Caucasian Grouse,EU,Caucasus,/caucasian_grouse.jpg,chicken_like,Kaukasusbirkhuhn,Fasane
Neognathae,Galliformes,Phasianidae,Pheasants & Allies,Centrocercus,Urophasianus,Sage Grouse,EU,sc Canada to wc USA,/sage_grouse.jpg,chicken_like,Beifußhuhn,Fasane
Neognathae,Galliformes,Phasianidae,Pheasants & Allies,Centrocercus,Minimus,Gunnison Grouse,EU,"sw Colorado, e Utah",/gunnison_grouse.jpg,chicken_like,Kleinbeifußhuhn,Fasane
